symbol,ts,price,volume
SYM0000,1754289974971,151.962,859
SYM0000,1754290094971,151.9794,776
SYM0000,1754290214971,152.2741,303
SYM0000,1754290334971,152.1581,178
SYM0000,1754290454971,152.2729,644
SYM0000,1754290574971,152.5377,509
SYM0000,1754290694971,152.6157,335
SYM0000,1754290814971,152.7149,221
SYM0000,1754290934971,152.9713,167
SYM0000,1754291054971,153.0223,664
SYM0000,1754291174971,153.2842,267
SYM0000,1754291294971,153.4407,881
SYM0000,1754291414971,153.4984,482
SYM0000,1754291534971,153.3953,265
SYM0000,1754291654971,153.3826,328
SYM0000,1754291774971,153.5445,134
SYM0000,1754291894971,153.6819,886
SYM0000,1754292014971,153.6732,22
SYM0000,1754292134971,153.9043,593
SYM0000,1754292254971,154.0372,466
SYM0000,1754292374971,154.1755,256
SYM0000,1754292494971,154.2554,109
SYM0000,1754292614971,154.1086,89
SYM0000,1754292734971,154.182,423
SYM0000,1754292854971,154.0988,112
SYM0000,1754292974971,154.1648,193
SYM0000,1754293094971,154.3865,798
SYM0000,1754293214971,154.4952,135
SYM0000,1754293334971,154.7126,422
SYM0000,1754293454971,154.6679,30
SYM0000,1754293574971,154.5301,333
SYM0000,1754293694971,154.6971,711
SYM0000,1754293814971,154.5753,602
SYM0000,1754293934971,154.7681,985
SYM0000,1754294054971,154.7775,581
SYM0000,1754294174971,154.9678,276
SYM0000,1754294294971,155.2175,674
SYM0000,1754294414971,155.4896,377
SYM0000,1754294534971,155.7927,883
SYM0000,1754294654971,155.8685,50
SYM0000,1754294774971,155.9703,463
SYM0000,1754294894971,156.189,474
SYM0000,1754295014971,156.3136,577
SYM0000,1754295134971,156.4849,587
SYM0000,1754295254971,156.7739,204
SYM0000,1754295374971,156.771,49
SYM0000,1754295494971,156.8638,117
SYM0000,1754295614971,156.8701,684
SYM0000,1754295734971,157.158,716
SYM0000,1754295854971,157.1677,599
SYM0000,1754295974971,157.3767,117
SYM0000,1754296094971,157.397,271
SYM0000,1754296214971,157.4373,377
SYM0000,1754296334971,157.3752,328
SYM0000,1754296454971,157.5977,916
SYM0000,1754296574971,157.8573,926
SYM0000,1754296694971,157.877,250
